scenario,7,8,13,14
separation at source,no,yes,no,yes
observations [n],225,225,213,213
constant,613.4,150,-697.1,-906.3
constant robust standard error,287.4,343,1654.9,2008.1
sigma,2411.6,2726.3,2050.5,2432.8
sigma robust standard error,215.2,268.8,184.2,240.9
"50,000 - 100,000 [1/0]",1199.8,1307.9,815,935
"50,000 - 100,000 robust standard error",466.7,540.8,444.6,536.2
"100,000 - 150,000 [1/0]",1094.1,593.2,1004,545.5
"100,000 - 150,000 robust standard error",533.4,611.3,529.6,630.6
"150,000 - 200,000 [1/0]",2236,1738.6,1594.6,1056.3
"150,000 - 200,000 robust standard error",879.5,967.4,844.9,952.4
"200,000 - 250,000 [1/0]",2598.5,1846.7,1804.7,1279.7
"200,000 - 250,000 robust standard error",958.4,984.6,869.7,943
"250,000 - 300,000 [1/0]",136.6,13615.2,-351.2,11770.5
"250,000 - 300,000 robust standard error",2432.9,478832.1,2246.7,459880.5
"more than 300,000 [1/0]",2565.6,2721.6,3814.5,4125.2
"more than 300,000 robust standard error",980.6,1129.5,1073.5,1293.1